Drug_Name,Category,Dosage_Form,Strength,Manufacturer,Indication,Classification
Calcium Carbonate,Antidiarrheal,Ointment,125mg,Novartis,Fungal skin infections,Over-the-Counter
Metformin,Antibiotic,Patch,75mg,Boehringer Ingelheim,Hypertension and heart failure,Prescription
Gabapentin,Anticoagulant,Liquid,200mg,Pfizer,Hypertension and heart failure,Prescription
Omeprazole,Antacid,Powder,250mg,GSK,Minor cuts and skin protection,Over-the-Counter
Trimethoprim,Bronchodilator,Liquid,0.25mg,AstraZeneca,Depression and anxiety disorders,Prescription
Clotrimazole,Antacid/H2 Blocker,Gel,400mg,Bayer,Minor wound infection prevention,Over-the-Counter
Clindamycin,Antiplatelet,Extended Release Tablet,25mg,Boehringer Ingelheim,Type 2 diabetes management,Prescription
Aspirin,Antifungal,Spray,25mg,Chattem,Heartburn and indigestion,Over-the-Counter
Acetaminophen,Analgesic,Capsule,5%,Prestige Brands,Minor pain and itching relief,Over-the-Counter
Amoxicillin,ACE Inhibitor,Tablet,100mg,Johnson & Johnson,Bacterial infections treatment,Prescription
Miconazole,Decongestant,Drops,125mg,Chattem,Minor wound infection prevention,Over-the-Counter
Docusate Sodium,Antifungal,Gel,2%,Chattem,Chest congestion and mucus relief,Over-the-Counter
Bacitracin,Topical Corticosteroid,Ointment,1%,Chattem,Diarrhea treatment,Over-the-Counter
Albuterol,Beta Blocker,Topical Solution,10mg,Novartis,Anxiety and panic disorders,Prescription
Docusate Sodium,Topical Antibiotic,Capsule,400mg,Sanofi,Skin inflammation and itching,Over-the-Counter
Ciprofloxacin,Corticosteroid,Nasal Spray,1mg,Novartis,Fungal infections treatment,Prescription
Losartan,Antidepressant/SSRI,Capsule,75mg,AstraZeneca,Blood clot prevention,Prescription
Meclizine,Expectorant,Ointment,500mg,Johnson & Johnson,Gas and bloating relief,Over-the-Counter
Hydrocortisone Cream,Analgesic,Tablet,20mg,Unilever,Pain relief and fever reduction,Over-the-Counter
Amoxicillin,Beta Blocker,Injection,10mg,Sanofi,Blood clot prevention,Prescription
Zinc Oxide,Antiplatelet,Powder,25mg,GSK,Minor cuts and skin protection,Over-the-Counter
Calcium Carbonate,Analgesic,Gel,250mg,P&G,Minor cuts and skin protection,Over-the-Counter
Sertraline,Anticonvulsant,Inhaler,20mg,Novartis,Anxiety and panic disorders,Prescription
Escitalopram,Anticonvulsant,Nasal Spray,100mcg,AstraZeneca,Hypothyroidism treatment,Prescription
Losartan,Anticonvulsant,Tablet,0.25mg,GlaxoSmithKline,Anxiety and panic disorders,Prescription
Bacitracin,Antifungal,Liquid,500mg,P&G,Acne treatment,Over-the-Counter
Ranitidine,Antacid,Patch,125mg,Chattem,Cough suppression,Over-the-Counter
Hydrocortisone Cream,Sleep Aid,Spray,1%,Bayer,Minor pain and itching relief,Over-the-Counter
Escitalopram,Anticoagulant,Sublingual Tablet,200mcg,Bristol-Myers Squibb,High cholesterol management,Prescription
Guaifenesin,Sleep Aid,Liquid,2%,Novartis,Cough suppression,Over-the-Counter
Simethicone,Skin Protectant,Drops,5%,Sanofi,Nasal congestion relief,Over-the-Counter
Lisinopril,Opioid Analgesic,Tablet,1mg,Boehringer Ingelheim,Hypertension and angina,Prescription
Levothyroxine,Opioid Analgesic,Capsule,50mcg,Novartis,Bacterial infections treatment,Prescription
Dexamethasone,Diuretic,Suppository,5mg,Merck,Hypertension management,Prescription
Famotidine,Antacid/PPI,Liquid,200mg,Johnson & Johnson,Minor wound infection prevention,Over-the-Counter
Amoxicillin,Antibiotic,Injection,50mcg,Eli Lilly,Asthma and bronchospasm,Prescription
Furosemide,Antifungal,Capsule,50mcg,GlaxoSmithKline,Anxiety and panic disorders,Prescription
Calcium Carbonate,Antacid,Chewable Tablet,10mg,Bayer,Insomnia and sleep aid,Over-the-Counter
Oxycodone,Leukotriene Inhibitor,Tablet,1mg,Pfizer,GERD and peptic ulcer disease,Prescription
Magnesium Hydroxide,Laxative,Chewable Tablet,5%,Pfizer,Constipation relief,Over-the-Counter
Hydrocortisone Cream,Cough Suppressant,Spray,1%,Chattem,Minor cuts and skin protection,Over-the-Counter
Pregabalin,Beta Blocker,Extended Release Tablet,50mg,Gilead Sciences,Hypertension management,Prescription
Lisinopril,Statin,IV Infusion,200mg,Boehringer Ingelheim,Hypertension management,Prescription
Metformin,Antifungal,Suppository,2mg,Novartis,Asthma and allergic rhinitis,Prescription
Magnesium Hydroxide,Topical Anesthetic,Cream,10mg,Unilever,Heartburn and indigestion,Over-the-Counter
Zinc Oxide,Antiflatulent,Powder,150mg,Sanofi,Nasal congestion relief,Over-the-Counter
Aspirin,Expectorant,Ointment,1%,GSK,Cough suppression,Over-the-Counter
Gabapentin,ARB,Extended Release Tablet,150mg,Novartis,Anxiety and panic disorders,Prescription
Aspirin,Laxative,Gel,10mg,Sanofi,Minor cuts and skin protection,Over-the-Counter
Aluminum Hydroxide,Antidiarrheal,Spray,200mg,GSK,Nasal congestion relief,Over-the-Counter
Lidocaine Cream,Antihistamine,Cream,200mg,Pfizer,Constipation relief,Over-the-Counter
Levothyroxine,Leukotriene Inhibitor,IV Infusion,25mg,Novartis,Depression and anxiety disorders,Prescription
Furosemide,ARB,Suppository,1000mg,GlaxoSmithKline,Moderate to severe pain management,Prescription
Loratadine,Antihistamine,Spray,1%,Bayer,Minor cuts and skin protection,Over-the-Counter
Zinc Oxide,Topical Corticosteroid,Gel,2%,Novartis,Pain relief and fever reduction,Over-the-Counter
Lidocaine Cream,Antiplatelet,Spray,1%,Novartis,Acne treatment,Over-the-Counter
Metronidazole,ARB,Injection,500mg,Abbott,Anxiety and panic disorders,Prescription
Lisinopril,Anticonvulsant,Liquid,5mg,Amgen,Hypertension and angina,Prescription
Dexamethasone,ACE Inhibitor,Extended Release Tablet,5mg,Abbott,Type 2 diabetes management,Prescription
Furosemide,Thyroid Hormone,IV Infusion,200mcg,Gilead Sciences,Epilepsy and neuropathic pain,Prescription
Bacitracin,Antihistamine,Capsule,250mg,Sanofi,Allergic rhinitis and hives,Over-the-Counter
Metformin,Statin,Sublingual Tablet,200mg,AstraZeneca,Edema and hypertension,Prescription
Albuterol,ARB,Suppository,150mg,Abbott,Type 2 diabetes management,Prescription
Loratadine,Antiemetic,Tablet,100mg,Pfizer,Skin inflammation and itching,Over-the-Counter
Levothyroxine,Statin,Extended Release Tablet,100mcg,Abbott,Hypertension management,Prescription
Loperamide,Topical Anesthetic,Lozenge,250mg,Sanofi,Cough suppression,Over-the-Counter
Metformin,Bronchodilator,Liquid,500mg,Sanofi,Hypertension management,Prescription
Levothyroxine,Calcium Channel Blocker,Suppository,100mcg,Johnson & Johnson,Bacterial infections treatment,Prescription
Pseudoephedrine,Antacid/H2 Blocker,Cream,50mg,Prestige Brands,Fungal skin infections,Over-the-Counter
Dextromethorphan,Cough Suppressant,Powder,100mg,GSK,Nasal congestion relief,Over-the-Counter
Ibuprofen,Antiemetic,Ointment,25mg,Prestige Brands,Heartburn and acid reflux,Over-the-Counter
Metoprolol,Antidepressant/SSRI,Sublingual Tablet,25mg,Johnson & Johnson,Type 2 diabetes management,Prescription
Azithromycin,Antiplatelet,Patch,100mcg,Novartis,Hypothyroidism treatment,Prescription
Acetaminophen,Antihistamine,Tablet,325mg,Sanofi,Diarrhea treatment,Over-the-Counter
Fluoxetine,Opioid Analgesic,Sublingual Tablet,1mg,Boehringer Ingelheim,Type 2 diabetes management,Prescription
Docusate Sodium,Cough Suppressant,Drops,325mg,P&G,Fungal skin infections,Over-the-Counter
Hydrocodone,Beta Blocker,Injection,1mg,Johnson & Johnson,Fungal infections treatment,Prescription
Lidocaine Cream,Laxative,Powder,5%,Bayer,Diarrhea treatment,Over-the-Counter
Trimethoprim,ARB,Topical Solution,25mg,Sanofi,Edema and hypertension,Prescription
Ranitidine,Antidiarrheal,Drops,400mg,P&G,Heartburn and indigestion,Over-the-Counter
Magnesium Hydroxide,Antacid,Patch,5mg,Bayer,Constipation relief,Over-the-Counter
Pantoprazole,Opioid Analgesic,Suppository,75mg,Sanofi,Moderate to severe pain management,Prescription
Ranitidine,Antidiarrheal,Liquid,100mg,GSK,Diarrhea treatment,Over-the-Counter
Aspirin,Topical Corticosteroid,Drops,2%,3M Healthcare,Skin inflammation and itching,Over-the-Counter
Aluminum Hydroxide,Skin Protectant,Chewable Tablet,25mg,Johnson & Johnson,Heartburn and indigestion,Over-the-Counter
Azithromycin,Corticosteroid,IV Infusion,1000mg,Eli Lilly,High cholesterol management,Prescription
Diphenhydramine,Antiflatulent,Ointment,325mg,Chattem,Minor pain and itching relief,Over-the-Counter
Benzoyl Peroxide,Topical Antibiotic,Cream,10mg,Novartis,Nasal congestion relief,Over-the-Counter
Clotrimazole,Antidiarrheal,Patch,50mg,Pfizer,Minor pain and itching relief,Over-the-Counter
Atorvastatin,Antibiotic,Nasal Spray,200mg,Gilead Sciences,Fungal infections treatment,Prescription
Hydrocodone,Anxiolytic/Benzodiazepine,Liquid,50mcg,Merck,Hypothyroidism treatment,Prescription
Ibuprofen,Antihistamine,Cream,100mg,P&G,Blood clot prevention,Over-the-Counter
Atorvastatin,Calcium Channel Blocker,Inhaler,1000mg,Abbott,Hypertension management,Prescription
Lidocaine Cream,Topical Anesthetic,Liquid,200mg,Johnson & Johnson,Gas and bloating relief,Over-the-Counter
Ibuprofen,Topical Anesthetic,Capsule,1%,Chattem,Diarrhea treatment,Over-the-Counter
Escitalopram,Antidiabetic,Liquid,75mg,Pfizer,Hypothyroidism treatment,Prescription
Sertraline,Anxiolytic/Benzodiazepine,Extended Release Tablet,150mg,Novartis,Moderate to severe pain management,Prescription
Clopidogrel,PPI,Patch,25mg,Novartis,GERD and peptic ulcer disease,Prescription
Amoxicillin,Opioid Analgesic,Inhaler,150mg,Sanofi,Asthma and allergic rhinitis,Prescription
Simethicone,Acne Treatment,Powder,150mg,Novartis,Insomnia and sleep aid,Over-the-Counter
Cetirizine,Analgesic,Drops,125mg,Sanofi,Allergic rhinitis and hives,Over-the-Counter
Sertraline,Antiplatelet,Extended Release Tablet,50mcg,Roche,Heart attack and stroke prevention,Prescription
Alprazolam,Antidepressant/SSRI,Capsule,75mg,Sanofi,GERD and peptic ulcer disease,Prescription
Clindamycin,Anxiolytic/Benzodiazepine,Suppository,150mg,Amgen,Bacterial infections treatment,Prescription
Bacitracin,Antidiarrheal,Capsule,400mg,3M Healthcare,Nasal congestion relief,Over-the-Counter
Famotidine,Sleep Aid,Liquid,2%,Johnson & Johnson,Cough suppression,Over-the-Counter
Dexamethasone,Anticonvulsant,Sublingual Tablet,50mg,Johnson & Johnson,Epilepsy and neuropathic pain,Prescription
Fluoxetine,Thyroid Hormone,Extended Release Tablet,2mg,Pfizer,Edema and hypertension,Prescription
Doxycycline,ARB,Injection,0.5mg,Novartis,Depression and anxiety disorders,Prescription
Aluminum Hydroxide,Topical Antibiotic,Gel,50mg,Pfizer,Acne treatment,Over-the-Counter
Salicylic Acid,Expectorant,Patch,150mg,3M Healthcare,Acne treatment,Over-the-Counter
Ibuprofen,Decongestant,Lozenge,20mg,Unilever,Motion sickness and nausea,Over-the-Counter
Gabapentin,Antibiotic,Patch,500mg,Bristol-Myers Squibb,Bacterial infections treatment,Prescription
Metformin,Opioid Analgesic,Extended Release Tablet,5mg,Johnson & Johnson,Heart attack and stroke prevention,Prescription
Hydrocortisone Cream,Antidiarrheal,Spray,200mg,Unilever,Insomnia and sleep aid,Over-the-Counter
Prednisone,PPI,Topical Solution,200mcg,Roche,Hypertension and angina,Prescription
Oxycodone,Diuretic,Injection,500mg,AstraZeneca,Edema and hypertension,Prescription
Azithromycin,Diuretic,Injection,50mg,Johnson & Johnson,Moderate to severe pain management,Prescription
Levothyroxine,Thyroid Hormone,Liquid,250mg,Abbott,Moderate to severe pain management,Prescription
Benzoyl Peroxide,Expectorant,Powder,2%,3M Healthcare,Diarrhea treatment,Over-the-Counter
Docusate Sodium,Antacid/PPI,Drops,250mg,Pfizer,Minor pain and itching relief,Over-the-Counter
Oxycodone,Anxiolytic/Benzodiazepine,Liquid,250mg,Johnson & Johnson,Hypertension and heart failure,Prescription
Cetirizine,Antidiarrheal,Tablet,200mg,Johnson & Johnson,Heartburn and indigestion,Over-the-Counter
Ranitidine,Topical Antibiotic,Spray,150mg,Prestige Brands,Nasal congestion relief,Over-the-Counter
Loratadine,Expectorant,Chewable Tablet,400mg,Reckitt,Fungal skin infections,Over-the-Counter
Hydrocodone,Leukotriene Inhibitor,Patch,250mg,Johnson & Johnson,Hypertension and angina,Prescription
Naproxen,Decongestant,Tablet,200mg,Reckitt,Blood clot prevention,Over-the-Counter
Acetaminophen,Cough Suppressant,Gel,25mg,Prestige Brands,Nasal congestion relief,Over-the-Counter
Prednisone,Bronchodilator,Suppository,5mg,Novartis,Bacterial infections treatment,Prescription
Atorvastatin,Antidiabetic,Tablet,50mcg,Novartis,Hypertension management,Prescription
Simethicone,Skin Protectant,Spray,250mg,Bayer,Allergic rhinitis and hives,Over-the-Counter
Aluminum Hydroxide,Decongestant,Gel,200mg,Prestige Brands,Insomnia and sleep aid,Over-the-Counter
Zinc Oxide,Antacid/H2 Blocker,Spray,400mg,Sanofi,Insomnia and sleep aid,Over-the-Counter
Aluminum Hydroxide,Sleep Aid,Lozenge,500mg,Novartis,Acne treatment,Over-the-Counter
Bismuth Subsalicylate,Antiemetic,Lozenge,50mg,Bayer,Nasal congestion relief,Over-the-Counter
Meclizine,Antihistamine,Liquid,2%,Johnson & Johnson,Allergic rhinitis and hives,Over-the-Counter
Diphenhydramine,Topical Antibiotic,Gel,2%,Novartis,Chest congestion and mucus relief,Over-the-Counter
Hydrocodone,ACE Inhibitor,Topical Solution,75mg,GlaxoSmithKline,Hypertension and heart failure,Prescription
Ibuprofen,Sleep Aid,Ointment,10mg,Unilever,Nasal congestion relief,Over-the-Counter
Famotidine,Antifungal,Capsule,325mg,Unilever,Heartburn and acid reflux,Over-the-Counter
Amoxicillin,Diuretic,Liquid,250mg,AstraZeneca,Edema and hypertension,Prescription
Pseudoephedrine,Antiplatelet,Ointment,1%,GSK,Blood clot prevention,Over-the-Counter
Docusate Sodium,Topical Corticosteroid,Lozenge,10mg,GSK,Insomnia and sleep aid,Over-the-Counter
Simethicone,Antiplatelet,Tablet,200mg,Chattem,Heartburn and acid reflux,Over-the-Counter
Benzoyl Peroxide,Antidiarrheal,Spray,100mg,3M Healthcare,Minor pain and itching relief,Over-the-Counter
Dextromethorphan,Antiplatelet,Tablet,5%,Prestige Brands,Constipation relief,Over-the-Counter
Calcium Carbonate,Sleep Aid,Patch,25mg,P&G,Pain relief and fever reduction,Over-the-Counter
Loratadine,Skin Protectant,Spray,200mg,3M Healthcare,Acne treatment,Over-the-Counter
Loperamide,Cough Suppressant,Powder,100mg,Johnson & Johnson,Pain relief and fever reduction,Over-the-Counter
Escitalopram,Statin,Extended Release Tablet,50mg,Johnson & Johnson,Epilepsy and neuropathic pain,Prescription
Loratadine,Decongestant,Spray,100mg,Pfizer,Heartburn and indigestion,Over-the-Counter
Albuterol,Diuretic,Extended Release Tablet,1000mg,GlaxoSmithKline,Hypertension and angina,Prescription
Zinc Oxide,Cough Suppressant,Tablet,500mg,Unilever,Minor wound infection prevention,Over-the-Counter
Lisinopril,Statin,Capsule,400mcg,Boehringer Ingelheim,Hypothyroidism treatment,Prescription
Losartan,Antifungal,IV Infusion,1mg,Pfizer,Blood clot prevention,Prescription
Lidocaine Cream,Acne Treatment,Spray,400mg,Unilever,Chest congestion and mucus relief,Over-the-Counter
Miconazole,Sleep Aid,Capsule,125mg,Sanofi,Constipation relief,Over-the-Counter
Lidocaine Cream,Analgesic,Tablet,20mg,GSK,GERD and peptic ulcer,Over-the-Counter
Ibuprofen,Topical Antibiotic,Powder,150mg,Prestige Brands,Minor pain and itching relief,Over-the-Counter
Hydrocodone,Anticonvulsant,Tablet,25mg,Merck,Heart attack and stroke prevention,Prescription
Zinc Oxide,Antiplatelet,Lozenge,100mg,Reckitt,Cough suppression,Over-the-Counter
Clotrimazole,Antacid/PPI,Lozenge,5mg,Bayer,Acne treatment,Over-the-Counter
Salicylic Acid,Antifungal,Spray,1%,Pfizer,Minor cuts and skin protection,Over-the-Counter
Metronidazole,Anticoagulant,Nasal Spray,2mg,Johnson & Johnson,Inflammation and autoimmune disorders,Prescription
Lidocaine Cream,Analgesic,Powder,125mg,Chattem,Minor wound infection prevention,Over-the-Counter
Gabapentin,Opioid Analgesic,IV Infusion,250mg,Pfizer,Hypertension and heart failure,Prescription
Famotidine,Antidiarrheal,Lozenge,5%,Pfizer,Chest congestion and mucus relief,Over-the-Counter
Gabapentin,Calcium Channel Blocker,Topical Solution,1mg,AstraZeneca,Heart attack and stroke prevention,Prescription
Ranitidine,Antifungal,Drops,250mg,P&G,Minor pain and itching relief,Over-the-Counter
Omeprazole,Acne Treatment,Tablet,500mg,3M Healthcare,Cough suppression,Over-the-Counter
Amoxicillin,Calcium Channel Blocker,Extended Release Tablet,50mg,Bristol-Myers Squibb,Moderate to severe pain management,Prescription
Bismuth Subsalicylate,Sleep Aid,Spray,25mg,Reckitt,Fungal skin infections,Over-the-Counter
Furosemide,Anticonvulsant,Inhaler,500mg,Abbott,Hypertension and heart failure,Prescription
Hydrocodone,Corticosteroid,Injection,500mg,Eli Lilly,Depression and anxiety disorders,Prescription
Clotrimazole,Antacid/PPI,Liquid,150mg,P&G,Chest congestion and mucus relief,Over-the-Counter
Amoxicillin,Antiplatelet,Injection,5mg,Gilead Sciences,Edema and hypertension,Prescription
Trimethoprim,Bronchodilator,Sublingual Tablet,25mg,Boehringer Ingelheim,Asthma and allergic rhinitis,Prescription
Losartan,Calcium Channel Blocker,Nasal Spray,200mg,Johnson & Johnson,Hypothyroidism treatment,Prescription
Amlodipine,Antidiabetic,Topical Solution,0.5mg,Novartis,GERD and peptic ulcer disease,Prescription
Loperamide,Antihistamine,Chewable Tablet,1%,Pfizer,Diarrhea treatment,Over-the-Counter
Ibuprofen,Topical Corticosteroid,Liquid,325mg,Sanofi,Insomnia and sleep aid,Over-the-Counter
Metronidazole,Beta Blocker,IV Infusion,10mg,Novartis,Bacterial infections treatment,Prescription
Gabapentin,Thyroid Hormone,Suppository,500mg,Gilead Sciences,Blood clot prevention,Prescription
Ciprofloxacin,Bronchodilator,Inhaler,200mcg,Sanofi,Hypertension and heart failure,Prescription
Loratadine,Antiemetic,Gel,325mg,Johnson & Johnson,Nasal congestion relief,Over-the-Counter
Magnesium Hydroxide,Acne Treatment,Chewable Tablet,400mg,GSK,Allergic rhinitis and hives,Over-the-Counter
Escitalopram,Opioid Analgesic,Patch,100mg,Novartis,Bacterial infections treatment,Prescription
Loperamide,Sleep Aid,Capsule,200mg,Sanofi,Diarrhea treatment,Over-the-Counter
Sertraline,Antiplatelet,IV Infusion,50mg,Johnson & Johnson,Hypertension and heart failure,Prescription
Alprazolam,Corticosteroid,Extended Release Tablet,200mg,AstraZeneca,Asthma and bronchospasm,Prescription
Aluminum Hydroxide,Topical Anesthetic,Spray,400mg,Bayer,Gas and bloating relief,Over-the-Counter
Bismuth Subsalicylate,Antiplatelet,Ointment,150mg,Pfizer,Blood clot prevention,Over-the-Counter
Lisinopril,Statin,Extended Release Tablet,10mg,GlaxoSmithKline,Edema and hypertension,Prescription
Furosemide,Antiplatelet,Capsule,500mg,Sanofi,Edema and hypertension,Prescription
Docusate Sodium,Antifungal,Drops,125mg,Reckitt,Chest congestion and mucus relief,Over-the-Counter
Meclizine,Laxative,Tablet,200mg,Sanofi,Heartburn and indigestion,Over-the-Counter
Losartan,Anticonvulsant,Suppository,1000mg,Merck,Type 2 diabetes management,Prescription
Escitalopram,Anticoagulant,Sublingual Tablet,75mg,Amgen,Hypertension and heart failure,Prescription
Dexamethasone,Diuretic,Sublingual Tablet,5mg,Bristol-Myers Squibb,High cholesterol management,Prescription
Cetirizine,Antidiarrheal,Cream,325mg,GSK,Acne treatment,Over-the-Counter
Meclizine,Topical Anesthetic,Liquid,100mg,Pfizer,Heartburn and acid reflux,Over-the-Counter
Alprazolam,Anxiolytic/Benzodiazepine,Sublingual Tablet,150mg,Abbott,Asthma and allergic rhinitis,Prescription
Hydrocortisone Cream,Laxative,Powder,125mg,3M Healthcare,Insomnia and sleep aid,Over-the-Counter
Ciprofloxacin,Antiplatelet,Extended Release Tablet,500mg,Merck,Hypertension and heart failure,Prescription
Famotidine,Decongestant,Chewable Tablet,25mg,Reckitt,Skin inflammation and itching,Over-the-Counter
Montelukast,Beta Blocker,Liquid,75mg,Novartis,Asthma and bronchospasm,Prescription
Alprazolam,Leukotriene Inhibitor,Topical Solution,1000mg,GlaxoSmithKline,Asthma and allergic rhinitis,Prescription
Amoxicillin,Diuretic,Nasal Spray,75mg,Boehringer Ingelheim,Hypertension and heart failure,Prescription
Docusate Sodium,Topical Corticosteroid,Patch,10mg,P&G,Motion sickness and nausea,Over-the-Counter
Salicylic Acid,Antidiarrheal,Patch,20mg,Chattem,Nasal congestion relief,Over-the-Counter
Magnesium Hydroxide,Antiflatulent,Drops,325mg,Bayer,Heartburn and acid reflux,Over-the-Counter
Loratadine,Laxative,Capsule,10mg,Johnson & Johnson,Acne treatment,Over-the-Counter
Levothyroxine,Opioid Analgesic,Sublingual Tablet,0.25mg,Merck,Moderate to severe pain management,Prescription
Cetirizine,Skin Protectant,Gel,150mg,Bayer,Acne treatment,Over-the-Counter
Pregabalin,Antifungal,Extended Release Tablet,500mg,Abbott,Inflammation and autoimmune disorders,Prescription
Lidocaine Cream,Skin Protectant,Lozenge,400mg,3M Healthcare,Chest congestion and mucus relief,Over-the-Counter
Levothyroxine,Antiplatelet,Inhaler,25mg,Pfizer,Hypertension management,Prescription
Montelukast,Beta Blocker,Suppository,10mg,Merck,Depression and anxiety disorders,Prescription
Docusate Sodium,Antidiarrheal,Gel,25mg,Sanofi,Minor cuts and skin protection,Over-the-Counter
Dextromethorphan,Topical Corticosteroid,Capsule,5mg,3M Healthcare,Cough suppression,Over-the-Counter
Pseudoephedrine,Acne Treatment,Cream,25mg,Pfizer,Insomnia and sleep aid,Over-the-Counter
Prednisone,Diuretic,Patch,0.5mg,Amgen,Hypertension and heart failure,Prescription
Doxycycline,Diuretic,Suppository,0.25mg,Roche,Depression and anxiety disorders,Prescription
Trimethoprim,Anticonvulsant,Liquid,200mg,Eli Lilly,Type 2 diabetes management,Prescription
Clopidogrel,ACE Inhibitor,Capsule,1000mg,Abbott,Depression and anxiety disorders,Prescription
Fluoxetine,Thyroid Hormone,Injection,400mcg,Gilead Sciences,Hypertension and angina,Prescription
Naproxen,Laxative,Spray,25mg,3M Healthcare,Minor pain and itching relief,Over-the-Counter
Fluoxetine,Antidiabetic,Tablet,100mcg,Bristol-Myers Squibb,Heart attack and stroke prevention,Prescription
Pregabalin,Antibiotic,Sublingual Tablet,50mcg,Boehringer Ingelheim,Asthma and allergic rhinitis,Prescription
Pantoprazole,Antiplatelet,Sublingual Tablet,50mcg,Pfizer,Type 2 diabetes management,Prescription
Acetaminophen,Sleep Aid,Lozenge,5mg,GSK,Blood clot prevention,Over-the-Counter
Calcium Carbonate,Topical Antibiotic,Tablet,200mg,Pfizer,Heartburn and indigestion,Over-the-Counter
Alprazolam,Antidiabetic,Capsule,0.25mg,Merck,Anxiety and panic disorders,Prescription
Pseudoephedrine,Analgesic,Gel,250mg,Sanofi,Minor cuts and skin protection,Over-the-Counter
Dextromethorphan,Antidiarrheal,Powder,400mg,Chattem,Diarrhea treatment,Over-the-Counter
Cetirizine,Antifungal,Liquid,500mg,Novartis,Fungal skin infections,Over-the-Counter
Azithromycin,Leukotriene Inhibitor,Extended Release Tablet,200mg,Pfizer,Heart attack and stroke prevention,Prescription
Salicylic Acid,Cough Suppressant,Drops,400mg,Sanofi,Gas and bloating relief,Over-the-Counter
Metformin,Corticosteroid,Sublingual Tablet,5mg,Johnson & Johnson,Blood clot prevention,Prescription
Metformin,Antiplatelet,Capsule,500mg,AstraZeneca,Fungal infections treatment,Prescription
Metformin,Antibiotic,IV Infusion,10mg,Roche,Depression and anxiety disorders,Prescription
Amoxicillin,Anxiolytic/Benzodiazepine,Topical Solution,100mcg,Johnson & Johnson,Hypertension management,Prescription
Guaifenesin,Topical Antibiotic,Lozenge,50mg,Sanofi,Diarrhea treatment,Over-the-Counter
Lisinopril,Anticoagulant,Extended Release Tablet,75mg,Amgen,Asthma and bronchospasm,Prescription
Aspirin,Antacid,Liquid,50mg,P&G,Blood clot prevention,Over-the-Counter
Levothyroxine,Bronchodilator,Extended Release Tablet,400mcg,Eli Lilly,Edema and hypertension,Prescription
Losartan,Thyroid Hormone,Extended Release Tablet,2mg,Abbott,Depression and anxiety disorders,Prescription
Simethicone,Antacid/PPI,Patch,20mg,Johnson & Johnson,Fungal skin infections,Over-the-Counter
Fluoxetine,ACE Inhibitor,Topical Solution,1000mg,Boehringer Ingelheim,Moderate to severe pain management,Prescription
Azithromycin,Anticoagulant,Suppository,100mg,Boehringer Ingelheim,Hypertension and angina,Prescription
Bismuth Subsalicylate,Antiflatulent,Ointment,10mg,Sanofi,Acne treatment,Over-the-Counter
Aspirin,Antidiarrheal,Powder,5mg,P&G,Skin inflammation and itching,Over-the-Counter
Salicylic Acid,Sleep Aid,Tablet,150mg,Unilever,Constipation relief,Over-the-Counter
Amoxicillin,Beta Blocker,Patch,50mg,Gilead Sciences,High cholesterol management,Prescription
Simethicone,Topical Antibiotic,Liquid,400mg,Sanofi,Heartburn and indigestion,Over-the-Counter
Simethicone,Antifungal,Powder,5%,Novartis,Allergic rhinitis and hives,Over-the-Counter
Bacitracin,Acne Treatment,Drops,500mg,Sanofi,Acne treatment,Over-the-Counter
Alprazolam,Calcium Channel Blocker,Topical Solution,0.25mg,Gilead Sciences,Heart attack and stroke prevention,Prescription
Prednisone,Thyroid Hormone,Suppository,500mg,Roche,Fungal infections treatment,Prescription
Omeprazole,Topical Corticosteroid,Cream,5%,3M Healthcare,Cough suppression,Over-the-Counter
Lisinopril,Thyroid Hormone,Suppository,500mg,Abbott,High cholesterol management,Prescription
Fluoxetine,Corticosteroid,Capsule,50mcg,Gilead Sciences,Hypertension and heart failure,Prescription
Naproxen,Sleep Aid,Spray,5%,Sanofi,GERD and peptic ulcer,Over-the-Counter
Atorvastatin,PPI,Topical Solution,500mg,AstraZeneca,Fungal infections treatment,Prescription
Omeprazole,Antacid/H2 Blocker,Patch,20mg,GSK,Heartburn and acid reflux,Over-the-Counter
Ranitidine,Skin Protectant,Cream,25mg,Johnson & Johnson,Cough suppression,Over-the-Counter
Bismuth Subsalicylate,Antifungal,Ointment,1%,Unilever,Motion sickness and nausea,Over-the-Counter
Lidocaine Cream,Antidiarrheal,Lozenge,200mg,Johnson & Johnson,Blood clot prevention,Over-the-Counter
Fluoxetine,Calcium Channel Blocker,IV Infusion,200mg,Pfizer,Bacterial infections treatment,Prescription
Salicylic Acid,Antiflatulent,Lozenge,150mg,Sanofi,GERD and peptic ulcer,Over-the-Counter
Pseudoephedrine,Topical Anesthetic,Capsule,2%,Johnson & Johnson,Heartburn and acid reflux,Over-the-Counter
Amlodipine,Anxiolytic/Benzodiazepine,Sublingual Tablet,50mg,GlaxoSmithKline,Heart attack and stroke prevention,Prescription
Diphenhydramine,Antiflatulent,Capsule,50mg,Pfizer,Heartburn and indigestion,Over-the-Counter
Miconazole,Acne Treatment,Cream,5%,Chattem,Heartburn and indigestion,Over-the-Counter
Dexamethasone,Statin,Liquid,0.5mg,Boehringer Ingelheim,Heart attack and stroke prevention,Prescription
Alprazolam,ARB,Patch,200mg,Amgen,Edema and hypertension,Prescription
Metoprolol,ARB,Extended Release Tablet,400mcg,Merck,Hypothyroidism treatment,Prescription
